,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
10,Colombia,67,13,64,80,219,1.49439983181541,1.87618248074401,1.91058496676848,1.200936955176,0.136986301369863,0.223744292237443,0.19634703196347003,0.0273972602739726,6990.0,40.4,48.54,0.6
11,Costa Rica,35,15,21,86,51,1.5643495103190201,2.7877694447242702,3.08558920225253,1.0,0.156862745098039,0.254901960784314,0.254901960784314,0.0392156862745098,8740.0,42.1,48.53,Não Informado
12,Croatia,73,33,40,80,230,2.03672551999728,2.18446718169821,3.48851161945299,3.0599565341422497,0.3,0.317391304347826,0.24782608695652203,0.0391304347826087,13290.0,59.6,Não Informado,0.31
13,Czech Republic,57,58,57,74,698,1.9242813220636898,2.11987862338977,2.95985205728306,3.2516107708954305,0.257879656160458,0.282234957020057,0.256446991404011,0.0315186246418338,18130.0,73.0,57.42,0.38
14,Denmark,18,74,16,23,932,1.89059276404865,2.13895991174451,2.83459137972837,2.31510127628687,0.27575107296137297,0.320815450643777,0.3068669527897,0.0407725321888412,59770.0,90.0,69.3,1.87
15,Ecuador,78,8,63,67,38,1.4913014754131102,2.11474252688113,1.5784365299976497,1.0,0.21052631578947398,0.157894736842105,0.263157894736842,0.0263157894736842,5200.0,31.4,51.05,Não Informado
16,Egypt,70,25,45,80,333,1.94205434028543,1.71966678106792,2.61469089267973,1.0,0.15915915915915899,0.222222222222222,0.16516516516516502,0.009009009009009009,3000.0,95.0,42.13,-0.54
17,El Salvador,66,19,40,94,23,1.25992104989487,1.0,1.6437518295172302,Não Informado,0.304347826086957,0.130434782608696,0.21739130434782603,0.0,3580.0,18.9,43.46,0.53
18,Estonia,40,60,30,60,174,1.79970013839742,2.05220270376418,4.28537412368504,4.97567120241002,0.35057471264367795,0.28735632183908,0.258620689655172,0.0517241379310345,15830.0,76.5,61.39,-1.19
19,Ethiopia,70,20,65,55,21,1.47273335753469,1.0,1.8171205928321401,Não Informado,0.19047619047619,0.47619047619047605,0.14285714285714302,0.0,410.0,1.1,Não Informado,-0.36
20,Finland,33,63,26,59,577,1.8624194028486398,2.61066994496848,3.1664480132332997,3.22432131095956,0.346620450606586,0.305025996533795,0.33275563258232205,0.0554592720970537,46940.0,89.4,64.4,1.12
21,France,68,71,43,86,2440,1.8233699805375099,2.03414282424236,2.7612192666938697,2.06672317150446,0.27827868852459003,0.233196721311475,0.24426229508196698,0.0418032786885246,41750.0,79.6,52.69,1.13
22,Germany,35,67,66,65,4600,1.88471240284418,2.31556707667586,3.03675805981179,2.5466143275895,0.303260869565217,0.302608695652174,0.307173913043478,0.05,44010.0,83.0,60.89,0.44
23,Ghana,80,15,40,65,21,1.200936955176,2.0,2.1657367706679898,1.0,0.19047619047619,0.28571428571428603,0.19047619047619,0.0476190476190476,1550.0,14.1,Não Informado,-0.29
24,Greece,60,35,57,112,463,1.8116958483143002,2.24805133011268,2.7453493723585702,1.79207812344834,0.252699784017279,0.291576673866091,0.259179265658747,0.0367170626349892,23260.0,53.0,Não Informado,0.55
25,Guatemala,95,6,37,101,38,1.43096908110526,1.53367468683856,1.69838132956495,Não Informado,0.263157894736842,0.263157894736842,0.157894736842105,0.0,3140.0,12.3,45.77,-0.17
26,Hong Kong,68,25,57,29,232,2.1486086971481497,2.8104424368132204,3.4468405300798195,1.69856581823783,0.27586206896551696,0.34482758620689696,0.306034482758621,0.0603448275862069,36560.0,72.2,52.5,-0.98
27,Hungary,46,80,88,82,447,1.88930335788086,1.96216574336593,3.0220183869167996,2.1351847961967,0.315436241610738,0.33333333333333304,0.317673378076063,0.0357941834451902,12370.0,70.0,58.55,-1.22
28,India,77,48,56,40,8921,1.74353414130111,1.9073921734423602,2.5840421447073703,2.26101421725748,0.18305122744087,0.283040017935209,0.199192915592422,0.0279116690953929,1530.0,10.1,53.54,-0.21
29,Indonesia,78,14,46,48,374,1.67107038449038,1.82654371428118,2.1183048759214698,1.8171205928321401,0.213903743315508,0.280748663101604,0.23529411764705901,0.0160427807486631,3420.0,12.3,52.74,-0.8
30,Iran,58,41,43,59,692,1.99687499754278,1.8365571956825302,2.8097652177127004,2.45335363183623,0.203757225433526,0.332369942196532,0.24132947976878602,0.0317919075144509,Não Informado,100.0,41.83,Não Informado
31,Iraq,95,30,70,85,15,1.5130857494228998,1.7099759466766997,1.0,Não Informado,0.2,0.4,0.133333333333333,0.0,5870.0,5.0,38.02,-1.68
32,Ireland,28,70,68,35,659,1.8633415448779398,2.1022358303296103,2.6775639175947203,1.83553929188546,0.298937784522003,0.30349013657056106,0.29742033383915,0.0333839150227618,38970.0,76.8,Não Informado,1.18
33,Israel,13,54,47,81,852,2.28860738513936,2.23875298132793,3.3667288054431497,2.3161922521830802,0.267605633802817,0.3732394366197179,0.34389671361502305,0.034037558685446,28380.0,68.9,Não Informado,0.36
34,Italy,50,76,70,75,1416,2.01524657283377,2.24207854734055,2.85492055299839,2.21092065887975,0.252118644067797,0.307203389830508,0.283898305084746,0.0444915254237288,33840.0,56.8,52.8,0.6
35,Jamaica,45,39,68,13,13,3.4872780685392497,3.36197540679896,3.096787682151,Não Informado,0.23076923076923103,0.538461538461538,0.46153846153846206,0.0,5140.0,37.5,Não Informado,Não Informado
36,Japan,54,46,95,92,483,1.6446793248804599,2.12924361604832,2.78705219354526,1.16652903957612,0.20910973084886103,0.23188405797101397,0.22153209109730804,0.0186335403726708,47870.0,79.1,52.88,-0.05
37,Kuwait,90,25,40,80,23,2.2179074418284,2.34073113979376,4.312059517133839,2.44948974278318,0.304347826086957,0.304347826086957,0.304347826086957,0.0869565217391304,44100.0,74.2,41.8,Não Informado
38,Latvia,44,70,40,63,176,1.95205523447195,1.92570846026721,3.0403053068294197,1.31607401295249,0.23295454545454503,0.335227272727273,0.284090909090909,0.0227272727272727,14200.0,71.7,59.43,-1.27
39,Lebanon,75,40,65,50,70,1.49603553546666,1.5788865924056799,1.96886619473674,1.0,0.17142857142857096,0.32857142857142896,0.314285714285714,0.0142857142857143,9190.0,52.0,Não Informado,Não Informado
40,Lithuania,42,60,40,63,207,2.12685186997526,2.54319393612825,3.39433912344158,4.86325050653529,0.222222222222222,0.260869565217391,0.222222222222222,0.0289855072463768,13920.0,65.1,Não Informado,-1.0
41,Luxembourg,40,60,50,70,44,2.65719714561267,1.7653135140379501,6.19573157471714,1.0,0.409090909090909,0.136363636363636,0.20454545454545497,0.0454545454545455,76960.0,90.9,Não Informado,1.13
42,Malaysia,104,26,50,36,271,1.70981712697952,1.8838787195822502,2.78531420178958,2.82842712474619,0.202952029520295,0.273062730627306,0.232472324723247,0.00738007380073801,9800.0,61.0,59.73,0.09
