,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
12,Croatia,73,33,40,80,1069,3.9685152921230604,6.43765293224774,11.019454151720801,5.25451364444801,0.545369504209542,0.536950420954163,0.285313376987839,0.10851262862488302,13290.0,59.6,Não Informado,0.31
13,Czech Republic,57,58,57,74,2701,3.71040607517536,6.37554903484442,10.3789413444997,5.18997689246781,0.574601999259533,0.5423917067752679,0.29951869677897097,0.117734172528693,18130.0,73.0,57.42,0.38
14,Denmark,18,74,16,23,4029,3.61136583492327,5.80377783980793,9.06353661845764,4.688409535428099,0.5567138247704151,0.6212459667411271,0.289401836684041,0.11590965500124101,59770.0,90.0,69.3,1.87
15,Ecuador,78,8,63,67,278,2.8098960160523903,3.47875196439516,5.7702022138644,1.8625845073501297,0.44964028776978404,0.446043165467626,0.161870503597122,0.039568345323741,5200.0,31.4,51.05,Não Informado
16,Egypt,70,25,45,80,1965,3.5092635814897,4.514375578900769,6.94172242213591,3.65671851187769,0.44325699745547104,0.518575063613232,0.18625954198473302,0.0743002544529262,3000.0,95.0,42.13,-0.54
17,El Salvador,66,19,40,94,133,3.62868067925398,4.43982699243412,17.6657016811166,4.05411507770681,0.47368421052631604,0.4962406015037589,0.13533834586466198,0.0526315789473684,3580.0,18.9,43.46,0.53
18,Estonia,40,60,30,60,621,3.73801743138265,7.52950603704267,14.403059598212302,6.575138587513701,0.5958132045088571,0.581320450885668,0.322061191626409,0.14170692431562,15830.0,76.5,61.39,-1.19
19,Ethiopia,70,20,65,55,129,3.1880930876142,3.3521610510606097,7.329016778945269,2.61699465182652,0.33333333333333304,0.41085271317829497,0.10077519379844999,0.062015503875969005,410.0,1.1,Não Informado,-0.36
20,Finland,33,63,26,59,2046,3.29609737909518,6.6189831006666,12.072777229918199,5.34026849665388,0.585043988269795,0.48924731182795705,0.31427174975562105,0.129521016617791,46940.0,89.4,64.4,1.12
21,France,68,71,43,86,11450,3.26165892355147,6.1581623665959,10.412237133292,4.68600471835875,0.5910043668122271,0.550305676855895,0.292838427947598,0.131528384279476,41750.0,79.6,52.69,1.13
22,Germany,35,67,66,65,18374,3.6575020661587,7.39588321109738,12.982206222603901,5.427588270890941,0.616414498748231,0.5976379666920649,0.34358332426254495,0.16098835310765197,44010.0,83.0,60.89,0.44
23,Ghana,80,15,40,65,208,2.55597586222887,2.47893924429361,5.5760805149156605,3.1014046971074505,0.34615384615384603,0.38942307692307704,0.0865384615384615,0.0336538461538462,1550.0,14.1,Não Informado,-0.29
24,Greece,60,35,57,112,2068,3.54659841259569,5.9195111300837,10.424483506354699,6.02076339947744,0.512088974854932,0.5502901353965179,0.252901353965184,0.10638297872340399,23260.0,53.0,Não Informado,0.55
25,Guatemala,95,6,37,101,215,2.44757088646077,3.6162935894569097,5.67507682421723,3.5162127439017703,0.5162790697674421,0.44651162790697707,0.17209302325581396,0.0558139534883721,3140.0,12.3,45.77,-0.17
26,Hong Kong,68,25,57,29,970,3.72501000479021,5.87117132534938,9.63932852367678,6.2293857467488705,0.509278350515464,0.5412371134020619,0.267010309278351,0.0938144329896907,36560.0,72.2,52.5,-0.98
27,Hungary,46,80,88,82,1842,3.41316432128684,6.61455475067791,10.995053965276401,4.47244111053204,0.560260586319218,0.508686210640608,0.292073832790445,0.11672095548317,12370.0,70.0,58.55,-1.22
28,India,77,48,56,40,70970,3.80973413797235,5.22457856026541,9.333960821631939,5.3501838965005195,0.45582640552346104,0.581442863181626,0.20229674510356502,0.0947442581372411,1530.0,10.1,53.54,-0.21
29,Indonesia,78,14,46,48,3585,2.7686026076552497,3.2885495566640897,6.117564243251599,3.7922863000176696,0.321059972105997,0.42147838214783795,0.11073919107391901,0.0359832635983264,3420.0,12.3,52.74,-0.8
30,Iran,58,41,43,59,3155,4.2540339887517105,4.95969461622712,8.3283648663678,4.572554457021651,0.46941362916006296,0.557210776545166,0.209508716323296,0.11125198098256697,Não Informado,100.0,41.83,Não Informado
31,Iraq,95,30,70,85,144,2.41635663122916,2.2284955184074398,4.12474477940223,2.80970581608967,0.29166666666666696,0.430555555555556,0.0625,0.0416666666666667,5870.0,5.0,38.02,-1.68
32,Ireland,28,70,68,35,2884,3.8563820889727207,6.068674108397571,9.76673145770164,4.876847141531679,0.556518723994452,0.612690707350901,0.28502080443828004,0.12031900138696301,38970.0,76.8,Não Informado,1.18
33,Israel,13,54,47,81,2963,5.71000949914503,9.49528251890645,13.4973765312777,5.690510852555231,0.6736415794802559,0.6905163685453929,0.41680728990887606,0.18393520080998998,28380.0,68.9,Não Informado,0.36
34,Italy,50,76,70,75,6822,3.6240646892415,5.52449019887971,9.17835509888681,5.373727778164071,0.529170331281149,0.589123424215772,0.255496921723835,0.10583406625622999,33840.0,56.8,52.8,0.6
