Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
292740805060032,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,137,424,3.09,3.76,731.31,1257424.73,1032.89,1466616.58,483.77,707472.89,901.14,942889.05,NA
292740805060033,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,268,842,3.14,2.86,606.18,287775.76,712.52,262377.08,417.02,242170.13,647.82,226648.73,NA
292740805060034,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,258,830,3.22,2.96,816.8,680415.28,912.27,672817.23,495.07,401607.87,765.02,414103.96,NA
292740805060035,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,244,750,3.07,2.99,652.26,330339.05,754.27,304938.5,405.57,274946.87,694.04,270285.57,NA
292740805060036,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,232,749,3.23,2.15,688.85,409863.23,775.8,394067.08,411.55,274950.65,683.44,270766.1,NA
292740805060037,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,208,681,3.27,2.65,693.23,574905.28,775.23,579364.13,418.09,309404.2,661.79,328524.51,NA
292740805060038,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,181,578,3.19,2.26,1059.71,3713883.31,1198.79,4036611.44,600.29,1686681.93,1024.02,2445854.53,NA
292740805060039,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,149,473,3.17,2.33,1038.74,2184129.56,1129.73,2273302.64,646.19,1245248.45,976.2,1560175.78,NA
292740805060040,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,184,453,2.46,2.4,675.51,175424.63,679.2,173867.62,304.45,190222.28,674.03,171932.54,NA
292740805060041,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,346,1073,3.1,2.44,708.71,381452.36,756.84,370899.98,453.73,283893.93,679.84,271629.99,NA
